sigma_meta,replicate,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
0.0014030037231905735,2,0.7590587671287603,0.7584604910088509,0.2492598247057502,0.24909151631151383,0.49811663352981134,0.4977802888708564,1.9983831494619528,1.0034023972839927
0.0014030037231905735,3,0.7536301452058082,0.7615695372185113,0.2560462317802509,0.2480314230068199,0.509153376722141,0.49321575904113996,1.9885212650155961,0.9879464774825751
0.0014030037231905735,4,0.7602030619178959,0.7569947564343754,0.2471747015240641,0.25011221709200443,0.4996747495815143,0.5056130691051226,2.021544868874324,1.0083449542314435
0.0014030037231905735,5,0.758318669012958,0.7570011201792287,0.24815983440653006,0.24928158664113853,0.49849809340947365,0.5007514449704442,2.0087783125807737,1.0184269115048115
0.0014030037231905735,6,0.7576280020849204,0.7539406999481224,0.25010173878976594,0.2550418000847245,0.500483938437802,0.5103696007486239,2.0011213870788236,1.000128775376061
0.0014030037231905735,7,0.7577393808495321,0.7532202576206096,0.24774910581693244,0.25226895975098007,0.5022536964026323,0.5114166491329354,2.027267443595777,1.0264422014128363
0.0014030037231905735,8,0.7617502103618223,0.7619694126103103,0.24499256838645544,0.24601388325103313,0.49045384319420643,0.49249842684726386,2.0019131454655237,1.0076673719332996
0.0014030037231905735,9,0.7548784388995522,0.7572423175416133,0.25492076307427486,0.25228869171636836,0.5111757735529383,0.5058978546568914,2.0052339691294576,0.9868239043439827
0.0014030037231905735,10,0.7543447066326531,0.7574261400128453,0.2560560737866277,0.25068621372993066,0.5081547548734625,0.4974980269135957,1.9845448200416813,0.9928959323465119
0.0014030037231905735,11,0.7594090326713645,0.7602701406649617,0.24929778373670938,0.24867280829374658,0.49913327067998126,0.4978819718025306,2.0021568711863496,0.9938150063142775
0.0014030037231905735,12,0.7522567304251004,0.7629662415000201,0.25830149134718766,0.24401089667699882,0.5147666148770338,0.48628702304585414,1.9928906031174507,0.9964475262583732
0.0014030037231905735,13,0.7604016642662826,0.7569188929771237,0.24766806921127305,0.25128595075832943,0.4971250490659378,0.5043869441795179,2.007223016875323,1.000623072550832
0.0014030037231905735,14,0.7585229540918164,0.7585170340681363,0.24902375336915306,0.2482543405586161,0.5011855652408023,0.49963704390845837,2.012601442473017,1.009951730780989
0.0014030037231905735,15,0.7626339357108588,0.7536817672482792,0.24499915933539954,0.25430128391981094,0.49148675005571385,0.5101475119661125,2.006075250988421,1.004191797932079
0.0014030037231905735,16,0.7591581297086141,0.7596836992734717,0.2508155901418295,0.24815325306785313,0.49564048637291275,0.4903794017589614,1.9761151453649322,0.9958144415898718
0.0014030037231905735,17,0.7591627235544149,0.7567233261511451,0.24659215125661652,0.25018069938537507,0.496577854427681,0.5038043355675246,2.0137618001917525,1.0184117013038725
0.0014030037231905735,18,0.759894669645707,0.7566971446904075,0.24758243612393843,0.24960248955841696,0.4981763681104444,0.5022410461188382,2.012163608653806,1.012735580736505
0.0014030037231905735,19,0.7553297868085277,0.7623504940197607,0.25133867529095677,0.24399029179146156,0.5079266025173076,0.4930763632512175,2.020885173876712,1.015711044486299
0.0019684194472866113,0,0.7594699237616254,0.7612137731991823,0.2457422899341214,0.2430635627504813,0.5024140559028145,0.496937464188175,2.0444753568362275,1.0313018193762233
0.0019684194472866113,1,0.7601073847016869,0.7572974483887713,0.24794232222437096,0.25195679913488195,0.49529211865450723,0.5033114787881809,1.9976102272943201,0.9964010393515912
0.0019684194472866113,2,0.7562390017597185,0.7586813890222436,0.2514276763763287,0.24875668774881465,0.5110407666609338,0.505611833396227,2.032555739392925,1.004911100440413
0.0019684194472866113,3,0.7626752966558792,0.7561170958311642,0.24652087120389263,0.2528061501733613,0.4910466780691294,0.5035663699865843,1.9919071179291516,0.9925748316412695
0.0019684194472866113,4,0.7602936482604532,0.7602662816811037,0.24752278312024611,0.2463128204089168,0.501383191946981,0.49893228638307413,2.025604211566294,1.007937636281774
0.0019684194472866113,5,0.7570936197499198,0.7564276588949217,0.2484988809970104,0.2500208054726481,0.5044361409714321,0.5075255460675857,2.0299332493875526,1.0205037452531753
0.0019684194472866113,6,0.7585724002720762,0.7616667333146719,0.2520272218264635,0.24882274541882704,0.4939847602885834,0.4877038415108227,1.9600452550666247,0.9810695446051344
0.0019684194472866113,7,0.7616026979283764,0.755699027578511,0.2442065302318079,0.25203290367885234,0.492864177633076,0.5086595747060593,2.0182268556259944,1.0134240727735984
0.0019684194472866113,8,0.7564117905149376,0.756307914477115,0.25214165162798596,0.2504573983588309,0.5041563778596031,0.5007887191562793,1.9994966107521335,1.0069394414610733
0.0019684194472866113,9,0.7562789953607423,0.757801248199712,0.25058933977893305,0.24871421919018535,0.5061821708271259,0.5023944893119734,2.019966895932899,1.014494517858928
0.0019684194472866113,10,0.7549558156197755,0.7609534528499076,0.25370326960689144,0.24486489945659592,0.5128228546067851,0.49495742379239716,2.0213490169101673,1.0087802882214392
0.0019684194472866113,11,0.7586384939232663,0.7583595197808396,0.24884213415884646,0.24575333069244049,0.5065764566979214,0.5002884736731119,2.0357342554157336,1.0217968232919148
0.0019684194472866113,12,0.7582546217808993,0.7565606913501942,0.24743815505821815,0.25319257361279013,0.4983055730095395,0.5098941610124611,2.013859070733438,1.0047514371979867
0.0019684194472866113,13,0.7555992614594204,0.7605437295702783,0.2516508132092212,0.2481560605964109,0.5066019114446451,0.4995665741409507,2.0131145414716336,1.0018770054024024
0.0019684194472866113,14,0.7583819682028577,0.7557543231961836,0.24680402172993351,0.25229158805751,0.501765625117283,0.5129221375980316,2.033052871668122,1.0143378636468974
0.0019684194472866113,15,0.7553208513362137,0.7575187969924813,0.254578998532205,0.2526253727344015,0.5044037036313436,0.5005329362326056,1.9813248796621965,0.9854293636497187
0.0019684194472866113,16,0.7584747454581753,0.7583249849729513,0.24932080503012224,0.24845877816701453,0.5004376477263761,0.4987073841986354,2.007203721590401,1.0091613411901146
0.0019684194472866113,17,0.756776205325018,0.7607059953574001,0.2502369585624112,0.24612821345192243,0.502753134646252,0.49449822100109003,2.009108236986749,1.012549290139456
0.0019684194472866113,18,0.7588235294117647,0.7579768092762895,0.25073020167658916,0.25163862135192355,0.49320289268378076,0.49498981427778843,1.9670661507302232,0.9905421808293656
