dprime,replicate,sigma_meta,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
2.0,3,0.001,0.7587397150311057,0.7569862467610126,0.24790337389795522,0.25141067718121207,0.4946187449314665,0.5016165437947148,1.9952077987251076,1.0082666507008426
2.0,4,0.001,0.7604723529881113,0.7594449346274164,0.24844064579180614,0.24824993317486765,0.49763077583469056,0.49724877526781036,2.003016753754965,0.9988414926863287
2.0,5,0.001,0.7588357588357588,0.7572834960781175,0.2494786244979992,0.25091243369761335,0.5007078922737177,0.5035855720096312,2.0070172075112325,0.9996934224361995
2.0,6,0.001,0.7560751398880895,0.7564051240992794,0.25093287522881746,0.2503529747876775,0.5010845020088357,0.4999265065748043,1.996886623771051,1.0150784698645756
2.0,7,0.001,0.7585487237116713,0.7607239674693032,0.25161627183067026,0.25081778424086787,0.49712048566643074,0.49554290669845236,1.975708812667636,0.9764585813020478
2.0,8,0.001,0.7561882672851602,0.7588124674908975,0.25210904341584156,0.24908237568350747,0.5040378314923075,0.4979866600635338,1.9992850104187725,1.0022002756575934
2.0,9,0.001,0.7528880361354279,0.7575551374934956,0.2580037180061044,0.2532739131080956,0.5079087867176083,0.49859764389484557,1.968610338807564,0.9791856821684727
2.0,10,0.001,0.7603017293263251,0.7593013518363441,0.24496891943217888,0.2476305192968384,0.49902101781525704,0.5044429067494043,2.0370789036092964,1.0182595662167424
2.0,11,0.001,0.7563907972519572,0.7557282486780964,0.25169615481023433,0.25179248311251295,0.5048358518065794,0.5050290608787267,2.0057352572080376,1.0050139700279448
2.0,12,0.001,0.7579533616475679,0.7570880920054309,0.2523974598513069,0.2545377406644555,0.494056008179891,0.49824550594881123,1.9574523787638378,0.9782285828234809
2.0,13,0.001,0.7588609634283873,0.7598919434292071,0.24966071886678676,0.25177876003835975,0.4983423892378643,0.5025701656487342,1.9960784840316363,0.9820535366282201
2.0,14,0.001,0.7584841628959276,0.7571292775665399,0.2455934542436507,0.25183275564593816,0.49543037722993943,0.5080167853526896,2.017278427699576,1.0162891881962763
2.0,15,0.001,0.7575369339792609,0.7592614794389162,0.2489236815117646,0.24755779976357653,0.506734388534457,0.5039538605900085,2.0357018081082323,1.0133933621440123
2.0,16,0.001,0.7620374054914445,0.7593888218737435,0.24772036177948656,0.24777137684087988,0.49226490682192015,0.4923662829230323,1.9871798316689042,0.9984658048102922
2.0,17,0.001,0.7589846092344593,0.7596958174904943,0.2503590079544437,0.24926178894143164,0.49819820694965944,0.4960148121943441,1.9899352175109815,0.9919222112981477
2.0,18,0.001,0.7562278289290127,0.757095259122476,0.25073354650953467,0.24802135518842824,0.5041067243241079,0.4986537887211281,2.0105276351799946,1.022071696573748
2.0,19,0.001,0.7546944145437149,0.7567122847854878,0.25674472194365605,0.2530880774346556,0.504256224622352,0.4970744382123503,1.9640373551009693,0.9819079127329442
