dprime,replicate,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
1.0,18,0.6578163971357309,0.65937475141198,0.49967202730164534,0.5020477041751228,0.49872089254614804,0.5010920472756616,0.9980964818850604,0.999370198680119
1.0,19,0.6576428657242401,0.6588357505293859,0.49035759861442213,0.4896388192539024,0.5009817015320546,0.5002473490756497,1.0216660309693424,1.0475910103413344
1.5,0,0.7052862557350887,0.7075195508321637,0.3305631485659785,0.32684683372297957,0.49971976881758373,0.49410173183356665,1.5117225588678784,1.0131968048088353
1.5,1,0.7022279006627805,0.7063396649835698,0.33855073736841546,0.33226474911378956,0.5063277620840063,0.49692659997108035,1.4955742410125477,0.9816068877887323
1.5,2,0.7016093430188225,0.7045010564924451,0.3368307472129433,0.3353420044722096,0.5013167701830266,0.4991010232282325,1.4883343469415982,0.999999121502876
1.5,3,0.7009905735740534,0.7006889921486941,0.33399733841176077,0.3333932159076789,0.5059838304516235,0.5050686248989957,1.514933720303583,1.0276282287901464
1.5,4,0.7017550873545756,0.7081682474886941,0.3324496390218577,0.3247892767076169,0.5066536304510674,0.49497922951473355,1.524001144780176,1.019986239172707
1.5,5,0.7017108057213831,0.7059222874485843,0.3355066782614461,0.33138649311550034,0.506854822339992,0.5006303986683748,1.5107145555684636,0.9932041398380153
1.5,6,0.7090224660606304,0.7016261137080986,0.3271459513017553,0.336191370583381,0.4895516478527232,0.5030875021013187,1.4964319316951198,1.0113747489204339
1.5,7,0.7100724318700228,0.7018511854783895,0.3302569654259156,0.34055771386649725,0.48791336698639515,0.5031314346739076,1.4773749475871254,0.9807583663784901
1.5,8,0.7049023515344759,0.7063428342031313,0.32948695010997575,0.32561984394425164,0.5033214974321728,0.49741413853552524,1.5275916004083767,1.0193850446968833
1.5,9,0.7051328284649597,0.7055863914067804,0.3354775369536845,0.3359037375080151,0.49688999695757774,0.4975212606602617,1.4811423783231652,0.9809997437491925
1.5,10,0.7104674390731123,0.7042851421706047,0.3282478013759897,0.33538141662232346,0.48944525128727956,0.500082075333602,1.4910846294645768,0.9866282705835587
1.5,11,0.7014943311566043,0.6981908223171852,0.3290564501478186,0.3338902742870341,0.50622764507575,0.5136641059310414,1.5384218873337467,1.040679369054432
1.5,12,0.7019331033929574,0.7018271762546876,0.3343588172923136,0.3360108623538066,0.5043910281576927,0.5068831912592292,1.5085321578845285,1.0022298295817924
1.5,13,0.705137960033639,0.7054616644692157,0.33104163619312543,0.3316953497758724,0.5019873896772221,0.5029786727640669,1.5163874715275063,0.990645802326069
1.5,14,0.7001119731264497,0.6970873009522285,0.3387327754701668,0.3423346936065911,0.5065654857345994,0.5119520545655059,1.4954723086110517,1.0004489354645671
1.5,15,0.7063269876819709,0.7042726836293807,0.3309850184750101,0.3332916389073601,0.4950061792541634,0.4984558561382347,1.4955546372910444,1.006922147472566
1.5,16,0.7028266156360882,0.710398523096681,0.33718289389053957,0.3263724852241341,0.5039225791190647,0.487766335385435,1.494508138608758,0.9938734464124643
1.5,17,0.7104144953098693,0.7026822064341023,0.3293017507149134,0.33950048489437096,0.48795525598031075,0.5030676139814703,1.481787615525763,0.9789162355483325
1.5,18,0.7033176863712308,0.7029201190571958,0.3349283184006037,0.3319450738299472,0.5040078392537741,0.4995185841880865,1.5048230070857622,1.0106017760753954
1.5,19,0.7040467082746125,0.7037949533081661,0.34059102566030197,0.3442458246825979,0.49340901259521186,0.49870366407150635,1.4486847139869363,0.9636977205133532
2.0,0,0.7534235637002435,0.7593876487797059,0.2564455299844201,0.2496308714680115,0.5069177866091875,0.4934472004311201,1.9767074381837906,0.9916946612950482
2.0,1,0.7598892722458477,0.75576294169259,0.2484950232759681,0.25383559119213506,0.4999472612424235,0.5106919524960654,2.011900498655875,0.9922162354187094
2.0,2,0.7604740244194398,0.7614483920121903,0.24711012741190402,0.2449096610845696,0.502538716085277,0.49806370919458715,2.033662971844141,1.0094423242584452
2.0,3,0.7587155963302752,0.7545126353790613,0.2505689636978555,0.2535607043964349,0.49823072519522543,0.5041794952098817,1.9883975965834655,0.9977977793971018
2.0,4,0.7574040586698815,0.7575552458690026,0.24822414071025858,0.25002815968009884,0.49778169358662144,0.5013994223679558,2.0053718069575703,1.0165711719475239
2.0,5,0.7636203866432337,0.7603348822304118,0.24493926825189438,0.2477273061009262,0.4877424811098622,0.49329424301239433,1.9912792448137393,0.9990908621713382
2.0,6,0.7569925173062303,0.75908672877764,0.25013145868521797,0.2480529358829596,0.5065071731926292,0.5022982395602019,2.024963896404776,1.0093834423714325
2.0,7,0.7587451861360719,0.7598117421825143,0.2471083883687623,0.24701849567272963,0.5039030280469707,0.5037197190058281,2.039198391335025,1.0158731414759363
