tauY,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.1225,18,0.001,0.2525829345260735,0.059145289565338766,0.5155701698201363,0.12072686954278404,0.7529581068116405,0.9418427793788025
0.1225,19,0.001,0.2545958200494279,0.061631958786860064,0.5031056392597781,0.1217906327695234,0.7540924410207029,0.940819907481257
0.195,0,0.001,0.24628240692745348,0.09659453534301717,0.4921478273939555,0.19302552423567096,0.7619925459864545,0.9070547370942628
0.195,1,0.001,0.24806211179206764,0.10387109721610722,0.49142925284727174,0.2057762684054123,0.7600241789240378,0.901131625967838
0.195,2,0.001,0.24954488253020396,0.09791602009888176,0.5008053520166107,0.19650519945144848,0.7554343434343435,0.9057029702970297
0.195,3,0.001,0.2522229258821109,0.09729982204241763,0.5068207394488119,0.19551580247239334,0.756025420680283,0.9056482927024538
0.195,4,0.001,0.25006058155372735,0.09786161419333543,0.49603781441045386,0.19412520325084232,0.7584461495199454,0.9063209463496236
0.195,5,0.001,0.25041719353978636,0.10097262453183099,0.502905810895622,0.20278048364267665,0.7571560480147738,0.9028735403132597
0.195,6,0.001,0.2511766353886403,0.10182518436625272,0.48877217148667834,0.19814468968308974,0.7600912109453134,0.902811662600488
0.195,7,0.001,0.24927926327457642,0.09819152365715071,0.4969816188882711,0.19576190071809194,0.7598403193612775,0.9049298597194388
0.195,8,0.001,0.2611554245403749,0.09764964748146329,0.5071893636008379,0.1896451611109944,0.7523133375877473,0.9070924261874198
0.195,9,0.001,0.2529309015637652,0.0975864508512193,0.501943643522079,0.19366118728794574,0.756383574801889,0.9061725433757096
0.195,10,0.001,0.25057057711337194,0.09105762334003174,0.5010353247740871,0.18207678814056008,0.7589986845776697,0.9117729699353752
0.195,11,0.001,0.2453075475087573,0.09698000960873325,0.49809041224004913,0.1969153149000987,0.7597102032602133,0.9060226595110316
0.195,12,0.001,0.25244768227414144,0.09898050072463092,0.49530473617337867,0.19420067697228363,0.7586757717343556,0.9052045354381185
0.195,13,0.001,0.2496831773000595,0.10152126434315319,0.48858372675476236,0.1986583085572635,0.7606560006415655,0.9031962012689039
0.195,14,0.001,0.2529488327396917,0.09480006024835375,0.5030330399490303,0.18852651731014555,0.7571047072422177,0.9083537393119505
0.195,15,0.001,0.2506004075211094,0.09693628277082261,0.5066707472160057,0.19598842360101712,0.7566585472986463,0.9054774211644028
0.195,16,0.001,0.25238935303273524,0.09529438606081825,0.5163980686153953,0.19497588277946815,0.7525975063938619,0.9061899423446509
0.195,17,0.001,0.2532576255545996,0.10130721527122359,0.49980174777651604,0.19992891879977476,0.7571354436948625,0.9023608160647721
0.195,18,0.001,0.25073440503145666,0.09704330623386283,0.49648554696154085,0.1921579089572133,0.7592813894200128,0.9059688303341902
0.195,19,0.001,0.24733806545084847,0.09986290250132257,0.4944828923503801,0.1996477848136602,0.7614225340881907,0.9030419776868127
0.26749999999999996,0,0.001,0.25330902271746464,0.13509830584346696,0.49696113831609023,0.2650462551088423,0.7582496413199427,0.8703227878593223
0.26749999999999996,1,0.001,0.2525558136789874,0.1322505485544263,0.49335977902292316,0.2583472558402669,0.7591723040191006,0.8724567752312022
0.26749999999999996,2,0.001,0.25555100727704855,0.13441943115083235,0.49510424716281015,0.2604240616114494,0.7582022830685718,0.8722841337288543
0.26749999999999996,3,0.001,0.24060006812681356,0.1361833656476965,0.48979928443284765,0.27723398237253016,0.7638352638352638,0.8677593889242521
0.26749999999999996,4,0.001,0.25120744343691825,0.13473260245038857,0.49894705712138926,0.2676052690604626,0.7576737316888197,0.8694432196256063
0.26749999999999996,5,0.001,0.2493040594422817,0.1349171965698382,0.4921771232269074,0.26635409720215825,0.7587397150311057,0.8700418576838749
0.26749999999999996,6,0.001,0.2511343027652064,0.13489064973428816,0.5028345901364819,0.27008530425968463,0.7568279827503593,0.8688491745472031
0.26749999999999996,7,0.001,0.2495266356929189,0.13132373909536132,0.5134772667047074,0.2702387038436789,0.7573453300422008,0.8708303191061811
0.26749999999999996,8,0.001,0.25370516373881075,0.1345716981352774,0.5020089046654332,0.2662783436659057,0.754657886283328,0.8707363723302518
0.26749999999999996,9,0.001,0.2512418591627842,0.13341129072698396,0.5126880602382261,0.2722411626972514,0.7540839205637412,0.8694053708439897
0.26749999999999996,10,0.001,0.25059848886052444,0.1322396398154893,0.5016813558892705,0.26473488370421694,0.7560751398880895,0.8708566853482786
0.26749999999999996,11,0.001,0.2496105598490952,0.12973440356764798,0.513043167893911,0.2666527787582882,0.7560606663747462,0.871779412355802
0.26749999999999996,12,0.001,0.2441867616020598,0.13011004419869643,0.49923707970506,0.26600851774228845,0.7609289617486339,0.8735266008282893
0.26749999999999996,13,0.001,0.24676427424817013,0.13991066539776162,0.49194136829632235,0.27892142971151407,0.7613257894948036,0.8654252561904382
0.26749999999999996,14,0.001,0.2509009566998395,0.13409721333588343,0.5066872513978239,0.27080545781478027,0.7568603954463751,0.8696575205287402
0.26749999999999996,15,0.001,0.2599230108116453,0.13817025457599058,0.5045658961901908,0.26821787770641664,0.7528880361354279,0.8686706960733299
0.26749999999999996,16,0.001,0.24969089484015772,0.13748299768647962,0.49705324580384674,0.2736838693563644,0.7586331658291458,0.8683383084577114
0.26749999999999996,17,0.001,0.24645037967198477,0.13554964941804293,0.5030731909007965,0.2766942162920547,0.7592220525596721,0.8684399139921956
0.26749999999999996,18,0.001,0.24688268226489898,0.13604811151971938,0.4924312203680315,0.2713610244745243,0.7616327834804489,0.8682049433161079
0.26749999999999996,19,0.001,0.2450168369055697,0.1329312907708872,0.4894864171578279,0.2655656732385475,0.7625350982751705,0.8716792979656961
0.33999999999999997,0,0.001,0.24422902048081807,0.1685428142805246,0.4961476908862791,0.34239226753695723,0.7615504620184808,0.8357265709371625
0.33999999999999997,1,0.001,0.2445898180063215,0.1655615370066992,0.4936123628559001,0.33412356305780144,0.7611024190636659,0.8388704981454154
0.33999999999999997,2,0.001,0.25031707142169135,0.17168130727126915,0.49508508704365844,0.33955676483198066,0.7585585585585586,0.8351248751248751
0.33999999999999997,3,0.001,0.255118366912517,0.1662552104583557,0.5078894279751681,0.33098073164814773,0.756287806431073,0.8395384367963975
0.33999999999999997,4,0.001,0.24473416156361108,0.166985246682823,0.49262366780348915,0.3361234253705996,0.7619982373207275,0.8378864126527678
