c,replicate,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.7,0,1.9809600588517624,2.0043084810649625,1.0117864174539357,0.24975463279618554,0.25589841235289246,0.5005853286986601,0.5128993581699614,0.6536828054847713,0.8158303001372397
-0.7,1,1.971576329704662,2.0141770267664905,1.0216074297606372,0.2510571608989448,0.2514949798347736,0.505673565887873,0.5065554107303027,0.651546267214303,0.8181138619782322
-0.7,2,2.0238377192344092,1.983225994021289,0.9799333094609567,0.24994378561107292,0.24697098566194864,0.49569501266796406,0.48979927853383565,0.65961049957663,0.8232235701906413
-0.7,3,2.004885024444666,2.0233383097712583,1.009204161386613,0.24365537351111907,0.25058720595729617,0.4929972516066723,0.5070226937519378,0.6612299142201281,0.8189918076900078
-0.7,4,2.0118836403902636,2.0260007689024517,1.0070168712686831,0.2473369886819266,0.25026638471954127,0.5011049292476003,0.5070398878722274,0.6578757659497777,0.8187024045092043
-0.7,5,2.0369821872377365,2.000963330017237,0.982317539423679,0.252812908176904,0.2495344264098864,0.5058693586169998,0.4993092368230675,0.6543470396720126,0.8207338241455677
-0.7,6,1.9991212457151282,1.9599542454649455,0.9804078915502837,0.2598452140001863,0.2519150840088059,0.5092847303434124,0.4937420383997176,0.6479180556397357,0.820274021670995
-0.7,7,1.9969656143705172,2.006711659900721,1.0048804273143561,0.24569114865254493,0.2513244436818523,0.4930312927354632,0.504335691554435,0.6585247000060912,0.8196706667063693
-0.7,8,2.023276217143984,1.956683153649446,0.9670865189190334,0.2568533529358765,0.2505882711181446,0.502580628648005,0.49032184859901357,0.6549771029163654,0.821099269548557
-0.7,9,1.9975742060646113,2.0102184263582012,1.0063297875268924,0.25182253432561125,0.24795383071859775,0.5062182986735644,0.49844135939662737,0.6518899304505594,0.8213058419243986
-0.7,10,2.015538723409634,2.0299684325159166,1.0071592318910512,0.24862568520572037,0.24844554900770663,0.5047022924802519,0.5043366216847306,0.6558027660853879,0.8200479472580162
