tauN,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.4275,11,0.5,0.7923589519131673,0.3044696029000407,1.2452754084280004,0.4785059955337127,0.3621933621933622,0.7427351109691841
-1.4275,12,0.5,0.7835128728612772,0.30548250528150556,1.2456146164855646,0.4856505704490739,0.3651205492575443,0.7385361552028219
-1.4275,13,0.5,0.7796662147192179,0.3003754634545092,1.2357020946165505,0.47606858211218717,0.3688377114069809,0.7442874864940574
-1.4275,14,0.5,0.7861477346629281,0.30433921959021293,1.2421438806626839,0.48086775880837057,0.3655785403961896,0.7393922363614468
-1.4275,15,0.5,0.7934012461573432,0.3044886973282032,1.2299348572165543,0.47202000789163007,0.3655677362567016,0.7426617611773174
-1.4275,16,0.5,0.7852817743401559,0.302814174934858,1.2518544596629906,0.48273026030675126,0.3630659792990449,0.7408816110821956
-1.4275,17,0.5,0.7840907393543741,0.30014499062991634,1.231100446714727,0.4712574878105736,0.3682251220879033,0.745303381565273
-1.4275,18,0.5,0.7695031192860955,0.2972498225765102,1.234500011494595,0.4768725430611765,0.37132691000679646,0.7442269980389803
-1.4275,19,0.5,0.7858104506443269,0.30965477696406973,1.2274808935995385,0.48369848227847084,0.3678105558900261,0.7390472393860873
-1.355,0,0.5,0.7586749853426313,0.30920794287135794,1.1692271455985086,0.4765338615673339,0.3909269899947764,0.7420459522956238
-1.355,1,0.5,0.7620043954291759,0.3087221571008036,1.1668933056327162,0.4727608142188234,0.3931287073529997,0.7411277681765203
-1.355,2,0.5,0.7666642719941082,0.3107602843132372,1.1764424520080723,0.47686008624515636,0.3856707317073171,0.7398691767708998
-1.355,3,0.5,0.7563787438998792,0.30502472855587703,1.1721709940428906,0.4727011991843236,0.3918448930641615,0.7427256353812287
-1.355,4,0.5,0.7551315354553769,0.30571453768751344,1.168122760241381,0.4729137810329983,0.39198620247072036,0.743617360778682
-1.355,5,0.5,0.7608865974465306,0.30252547590976697,1.1868117053552418,0.47187159976635984,0.38651775029916235,0.7432009626955476
-1.355,6,0.5,0.7394602119697006,0.3010134284211769,1.1905852591975374,0.48465373105625725,0.3909990424513246,0.73981392364453
-1.355,7,0.5,0.7484046277734556,0.3107143477933222,1.1769773086973916,0.4886444087437542,0.3920680113886995,0.7378206918565215
-1.355,8,0.5,0.7582007936112581,0.30575175061621107,1.1707847023666942,0.47213017364214627,0.39106949945984876,0.7431119286599752
-1.355,9,0.5,0.7421505995372504,0.3047185868188702,1.1700906767417767,0.4804259104405583,0.3938543003851091,0.7409859604339503
-1.355,10,0.5,0.7528664389768371,0.30773351786603426,1.1539845566693836,0.47169020798637445,0.39769718366364437,0.7443168222062695
-1.355,11,0.5,0.7557270862108593,0.30756431948644497,1.1681310482017613,0.47540367080467344,0.3914720893782904,0.7421268463590397
-1.355,12,0.5,0.7306635458150046,0.3027573120580191,1.1901404191233818,0.49314587586750774,0.3947987714889713,0.7376148261061415
-1.355,13,0.5,0.7457744341628891,0.3056580639203508,1.1752832484948135,0.481693640646419,0.39367240688826594,0.740831002796644
-1.355,14,0.5,0.7450804029130608,0.30720648427131364,1.1581803756339937,0.47753305543866914,0.39775910364145656,0.7409036385445822
-1.355,15,0.5,0.7583945360242627,0.3133799168014974,1.1482018587147231,0.4744541078073288,0.3969291212315587,0.7404214559386973
-1.355,16,0.5,0.7394572493093294,0.3003548662207656,1.1868587644729869,0.4820816967568941,0.3916131621187801,0.7431419457735248
-1.355,17,0.5,0.7483466110292466,0.30286814608955165,1.172135213597918,0.4743823435245142,0.3933303975339285,0.7438151952360018
-1.355,18,0.5,0.7507830361245686,0.30181138530863566,1.178944816926098,0.47393048494487383,0.39033382759588026,0.7441210524214477
-1.355,19,0.5,0.7773848368505271,0.31671262743156314,1.1649124229526868,0.4745943794012447,0.3890331083509725,0.7387524538279716
-1.2825,0,0.5,0.7026829378497725,0.30453730877227986,1.114570858188417,0.4830463233209709,0.421567840808794,0.7418042593921991
-1.2825,1,0.5,0.7025222677938239,0.2952246878403418,1.1126220278932577,0.46756310216415153,0.42188939169436546,0.7488113788005913
-1.2825,2,0.5,0.725624268069398,0.3120034537397686,1.1069824594493793,0.47597960235877573,0.4164926092544987,0.7406389420012747
-1.2825,3,0.5,0.7109860544289047,0.3059012400053918,1.1077053344502004,0.4765894257111435,0.4212866527800032,0.7429301805400224
-1.2825,4,0.5,0.7144982832022738,0.310390600331165,1.1058304464725615,0.4803921635847063,0.41990874159462055,0.7386072913335465
-1.2825,5,0.5,0.7146545369362255,0.3089337315652792,1.1184881458880809,0.48350454487014677,0.418029517351416,0.7375451263537907
-1.2825,6,0.5,0.7107829901873138,0.31007346381901835,1.1010731976516708,0.48033448327760747,0.4231031031031031,0.7393806193806194
-1.2825,7,0.5,0.719876256792184,0.30783127469569155,1.1046449372079576,0.47236487646102865,0.4199007761862847,0.7431016556026554
-1.2825,8,0.5,0.7101476611141112,0.30589955068737407,1.1046745355458873,0.4758439161077114,0.42222044216597243,0.7420901246404602
-1.2825,9,0.5,0.710267263713945,0.3072282429235155,1.0985104155069478,0.4751639868979004,0.4247133554392553,0.7417197324682606
-1.2825,10,0.5,0.7204015889681287,0.30624738966990034,1.107300287367923,0.4707205366841014,0.4192362997283911,0.7430299631469316
-1.2825,11,0.5,0.7097443527395249,0.30561870118206785,1.1045393818991818,0.4756189887210823,0.42238281561926055,0.7414442574336779
-1.2825,12,0.5,0.7062806463995603,0.30781145179144337,1.1134926447522173,0.4852827120316903,0.4190954773869347,0.7391840796019901
-1.2825,13,0.5,0.6955800921547215,0.30425630484624333,1.1172667403704641,0.4887078480059647,0.42141768903856947,0.7383270811716817
-1.2825,14,0.5,0.7105702167085945,0.3029061716951725,1.111205665263302,0.4736914749818882,0.4204355108877722,0.7421567840808794
-1.2825,15,0.5,0.6965535596219884,0.3026529448790575,1.107537794089093,0.481225844467478,0.4247833761232349,0.7420628589661774
-1.2825,16,0.5,0.7019891441816962,0.30222241206949,1.126365278030968,0.4849260619188887,0.41798517925095136,0.74112242859996
-1.2825,17,0.5,0.7075766971533848,0.3074611097470828,1.1034155068504463,0.4794637211954927,0.42338709677419356,0.7390189163193331
-1.2825,18,0.5,0.7138306817918145,0.29967150535170156,1.1138320770671648,0.46759510869704574,0.41949354992833254,0.7452178106413759
-1.2825,19,0.5,0.7101754226133344,0.2953185964518395,1.1364841845544071,0.4725943810295119,0.415352845399309,0.7448325879366614
-1.21,0,0.5,0.6677027523872564,0.2966059409908171,1.0483292427507036,0.46568728435302714,0.4524841879151915,0.7477575318772375
-1.21,1,0.5,0.6742942060495232,0.30327805881987985,1.059822659272858,0.476677622192098,0.4447511601856297,0.7422412414013758
-1.21,2,0.5,0.6802029978656258,0.3141790147757262,1.0394189282094901,0.4800972883518687,0.44776959897027474,0.7388122041449541
-1.21,3,0.5,0.6691823477737847,0.3028440355684804,1.043191689992159,0.47210507318332007,0.45028420462733165,0.7435446478535455
-1.21,4,0.5,0.669359578576537,0.3024689983249531,1.04963845017881,0.47430872850748146,0.4507557677008751,0.7420756234915526
-1.21,5,0.5,0.6683909910477972,0.3070803622759602,1.0380774593644226,0.47692624012243684,0.452179492320648,0.741611139927383
-1.21,6,0.5,0.6613063030595021,0.2995984730902581,1.0488808607401778,0.47518540633519174,0.45368785574971143,0.7434980102102343
-1.21,7,0.5,0.6692987895580635,0.30319715984546003,1.0488899735072863,0.4751546931196113,0.44850883505237066,0.7419354838709677
-1.21,8,0.5,0.6928364505480822,0.3137775739082586,1.0411507096550288,0.47152505254303845,0.4459324405356786,0.74032419451671
-1.21,9,0.5,0.6655304133076076,0.3034734293051602,1.0504399629251187,0.47898730314031635,0.44988,0.74164
-1.21,10,0.5,0.6846929779285938,0.307270746195564,1.0654505770680658,0.4781439337097178,0.44269734485092155,0.7405442340930102
-1.21,11,0.5,0.6689508745055018,0.31008701352640944,1.0328988191923738,0.47879227358074666,0.4538341158059468,0.7411380039076518
-1.21,12,0.5,0.6817607782490999,0.30827171001182224,1.0459705626281948,0.47295641557955403,0.4474146887237273,0.7420116921598462
-1.21,13,0.5,0.6858921099802546,0.3114770225203688,1.038835782114108,0.47175564726912517,0.44788,0.74108
-1.21,14,0.5,0.6790645571067806,0.3102925408885725,1.0613327304007778,0.4849666002999456,0.44222213315162934,0.7377749391241867
-1.21,15,0.5,0.6698997020379325,0.311074391490062,1.0431298428922113,0.4843874092430102,0.4506518435575462,0.7371369128590862
-1.21,16,0.5,0.6729568739241628,0.30121181770877475,1.049220442241201,0.4696253338520645,0.4506453154875717,0.7456619537275064
-1.21,17,0.5,0.6740237647912983,0.3099199810179342,1.0548109164399355,0.4850080906298558,0.4470564677613136,0.7383939272872553
-1.21,18,0.5,0.6783657439378022,0.3007888137201291,1.0418988269192229,0.4619801559351165,0.4476114010437575,0.7487046632124352
-1.21,19,0.5,0.6712563081018634,0.2995863406929898,1.0637985934972374,0.4747806821531187,0.4459475589861934,0.7434752885350062
