tauN,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.4275,0,0.7241233897935678,0.25160458277006886,1.4165896747349684,0.49220955860808085,0.33767016022166,0.7593337849145316
-1.4275,1,0.7123712791762867,0.2516173323930209,1.4138160661945476,0.4993753081702126,0.3454385121051788,0.7587418170205972
-1.4275,2,0.7215227078511952,0.2546202125628139,1.424949200337542,0.5028543999144429,0.3401447594673491,0.7554515264273997
-1.4275,3,0.7145186715422621,0.24961931874630855,1.435666791875357,0.5015546560331253,0.3416443930266885,0.7577106645810773
-1.4275,4,0.7205575538757881,0.24980076004197915,1.4317507734531878,0.4963551203863321,0.3390595661379889,0.7585005406704314
-1.4275,5,0.7181219341817636,0.24520836763183787,1.436116699483727,0.49037331245210974,0.3404204586098637,0.7604380561259412
-1.4275,6,0.7097038789140551,0.24576594182510828,1.4373544989693814,0.49774672602366526,0.3422136885475419,0.7615295388184473
-1.4275,7,0.7189538187433758,0.24974095912493915,1.4582398208526257,0.5065446514081398,0.336929691854447,0.7564504461056185
-1.4275,8,0.7095739989153416,0.2497337552859447,1.438228827841075,0.5061829868150324,0.3420873805812048,0.757034783652884
-1.4275,9,0.7104164808037731,0.25390204091462726,1.3840847925791988,0.4946703280829781,0.35068482146443347,0.7587539337927738
-1.4275,10,0.713679375440393,0.2499053045860425,1.4280484976033687,0.5000521341071272,0.34102543593025114,0.7568811009761562
-1.4275,11,0.7061393781507157,0.2446847142360157,1.442078398830604,0.4996953177259087,0.34293465251735417,0.76096895804925
-1.4275,12,0.7114966377977573,0.25589602296830416,1.414292885534028,0.5086628741363051,0.34449300348823225,0.753980605770382
-1.4275,13,0.7184992716948485,0.25311401814639534,1.4350687214993114,0.5055481956969469,0.3405409718343573,0.7550733937595251
-1.4275,14,0.7166005604772018,0.2546414610955961,1.427410578018997,0.5072252733489602,0.339772818174546,0.7531802544203536
-1.4275,15,0.7067961557956948,0.2450244800781681,1.413532685222946,0.49002828952901734,0.34732411304870714,0.7641189383356616
-1.4275,16,0.7079455913770873,0.24516271247006866,1.4275404309324256,0.49435957857624035,0.3425892535160476,0.7618895499740447
-1.4275,17,0.7042693527356174,0.2521869206159495,1.4100787990351413,0.5049253226385986,0.3466548729495014,0.7572031200254696
