c,replicate,sigma_meta,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.6,13,0.001,2.0170265604952844,1.9907352681310875,0.9869653216873153,0.25176787910988463,0.25347688821781555,0.5012031963266114,0.5046053810313267,0.6715071756764422,0.8116524049303389
-0.6,14,0.001,1.9885833639489081,1.9913143369499642,1.001373325881412,0.253079812781094,0.2515321306971702,0.5039614595836053,0.5008795380608472,0.6716518232229878,0.8111176781659253
-0.6,15,0.001,1.988081410278842,1.9833925699895756,0.997641525007465,0.25178965087476385,0.25024407043708086,0.4993977227452759,0.4963322299888542,0.6716915085817525,0.8132433102081269
-0.6,16,0.001,2.013478202568082,1.9565345967945098,0.9717187870715741,0.24913513406882484,0.24872872643467947,0.48744150908269435,0.4866463584860875,0.6799006042807929,0.8157805097079862
-0.6,17,0.001,1.9846929473753954,1.9712354805911172,0.9932193708845115,0.24976296330766318,0.25208333930342014,0.492341615009643,0.4969156225007911,0.6770336271262561,0.8115698884642868
-0.6,18,0.001,1.999688318327563,1.9949349581133151,0.9976229494513308,0.24968424086936236,0.2530764157098456,0.4981038206002763,0.5048709887735888,0.6738163598491246,0.8106833762446878
-0.6,19,0.001,1.9948836607094187,1.989556333222182,0.9973295046763067,0.24962257542877989,0.2478475684677444,0.4966381758595608,0.4931066995187192,0.6762879677798288,0.81396507175544
-0.5,0,0.001,1.9610532175728497,2.0208062671727687,1.0304698766277613,0.2485036327094591,0.2501744081703654,0.5021776983944748,0.5055540119169127,0.6873390445156883,0.803021986891809
-0.5,1,0.001,2.005653086556189,1.9905098779258377,0.9924497368304341,0.24814196386304865,0.2538610299254075,0.4939290301973146,0.5053128876869503,0.691896186440678,0.8033097686375321
-0.5,2,0.001,2.0126933744412043,2.0088534508587736,0.9980921467565834,0.24982030845996306,0.24307680334686227,0.5018523887444001,0.48830567522706375,0.6900882909396678,0.8103448275862069
-0.5,3,0.001,2.001420573211095,1.9800892022205445,0.9893418848211767,0.2506363631450499,0.2552341632462154,0.4962823563473405,0.5053864106816268,0.6925293378038558,0.8011451863354038
-0.5,4,0.001,1.9735145363465278,2.0356562381800134,1.0314878358831476,0.2456638928262421,0.24691935579870425,0.500087235927326,0.5026429269590226,0.6907735908470662,0.8051767595165773
-0.5,5,0.001,2.0108481134749523,1.994659515700334,0.9919493681963663,0.252781196289609,0.2484550802653819,0.5042124185691825,0.4955832900754343,0.6875460963017596,0.8068540847249984
-0.5,6,0.001,2.0082945049618446,2.0110831541464727,1.00138856585911,0.24920029467830113,0.24769982768436197,0.5011625146358683,0.49814495074100446,0.6901859829778292,0.8065297422980042
-0.5,7,0.001,1.9964618793368125,1.9905993726901652,0.9970635519228673,0.25034434177461246,0.25137295412850613,0.4983352896930759,0.5003828447994779,0.6901244988394176,0.8044710733152944
-0.5,8,0.001,1.9962210059337093,2.011199869160301,1.007503609661489,0.2440048159452021,0.24737296976158213,0.49074245390347376,0.4975164844182891,0.6951753229633535,0.8068632189463509
-0.5,9,0.001,1.9923458539967716,1.9732329172615266,0.9904068178238717,0.2539314888168395,0.2536033544410065,0.501065972462615,0.5004184869109362,0.687037428631846,0.8035001930253507
-0.5,10,0.001,1.9882851694871568,2.006690642520436,1.0092569583657993,0.24834621325414075,0.24736239405986274,0.4983540222424689,0.4963798014713792,0.6893887271765017,0.8072335637357339
-0.5,11,0.001,1.9835701822612197,1.9971428460564802,1.006842542762862,0.25349172248943697,0.2555154218640552,0.5062591801043136,0.5103007968329013,0.6835248636339565,0.801201915351737
-0.5,12,0.001,1.9892265083999816,1.9963407500728505,1.003576385918259,0.2554850336524925,0.24911643015183385,0.5100351837142043,0.49732128102478285,0.6834963710949826,0.8054928032014458
-0.5,13,0.001,2.002776080456469,1.9943289632030266,0.9957822957164951,0.25266145428765646,0.24920230043350466,0.5038900561708708,0.49699136545136047,0.6880714661061482,0.8057474975783016
-0.5,14,0.001,1.9826525075428079,1.996452123992754,1.0069601790517737,0.25181562997735796,0.25126370892173544,0.5027378493228697,0.5016359653590958,0.6855872074552578,0.8044931542071093
-0.5,15,0.001,1.9832743776764001,2.0422400019884606,1.0297314506634954,0.24708833993415866,0.24572486227520068,0.5046136918384616,0.5018291432215201,0.6865150713907985,0.8071405596654873
-0.5,16,0.001,1.993361833898691,2.024411835277107,1.0155767010536605,0.24282614129610827,0.24702570300708157,0.4915801143545127,0.5000817567851836,0.6957573208558961,0.8062558507375964
-0.5,17,0.001,1.9920117691007477,1.997595697034174,1.0028031601118235,0.24910672041257081,0.24877059895002426,0.4976145127984465,0.49694307801118265,0.6907672849915683,0.8060211449200619
-0.5,18,0.001,2.011015937960001,2.0318532575293355,1.0103615884767536,0.24771168494529727,0.24355924987122507,0.5033137939841827,0.49487665525225005,0.6895552276559865,0.8094700876740588
-0.5,19,0.001,2.0210215323475302,2.0182134822597506,0.9986105788370706,0.24735853855288367,0.24745802587899396,0.4992223374594981,0.4994231241223679,0.6927802572853767,0.806719431432725
-0.3999999999999999,0,0.001,1.9958531045098107,1.9921926688264073,0.9981659794124466,0.24934212653576052,0.24771030469964073,0.4967375565141285,0.4934866530153798,0.707719592098133,0.7984579643783037
-0.3999999999999999,1,0.001,2.00609637213731,2.0194958982585467,1.0066794029974544,0.25044034357535866,0.2479828591369308,0.505763246608898,0.5008003668654587,0.7039246622621044,0.7977320142674473
-0.3999999999999999,2,0.001,2.004039972021305,1.9623465270717781,0.9791953027226926,0.25072970782013604,0.25303755928397487,0.49201857137456556,0.4965473756796272,0.7078428450802166,0.7965982522516489
-0.3999999999999999,3,0.001,1.974528078462015,2.0185554553515157,1.0222976707040774,0.2488903500314326,0.24978227828942628,0.5023989738402965,0.5041993804912519,0.7027791563275434,0.7961139028475712
-0.3999999999999999,4,0.001,2.0060206693765315,2.001970953285375,0.9979812191604113,0.25245948450322486,0.25102272695177,0.5054165548568554,0.5025402079719294,0.7034404462214324,0.7959718906559967
-0.3999999999999999,5,0.001,1.994501684685214,1.9891758115830578,0.9973297224349065,0.24887409099515034,0.2531476133998678,0.49505432193727394,0.5035551093349961,0.706058041714371,0.7955267292969141
-0.3999999999999999,6,0.001,1.992741092724209,2.009513722566545,1.0084168635371524,0.24675396644661993,0.25329881625742984,0.49585548167220755,0.5090074471791671,0.7059116986779745,0.7948923385077616
-0.3999999999999999,7,0.001,2.011510025832134,2.0085017474674354,0.9985044676257806,0.24784467776063576,0.2535268087269549,0.49779646838274033,0.5092090383579311,0.7073884781422121,0.7945522163031461
-0.3999999999999999,8,0.001,2.002497295215565,2.0146664089248483,1.0060769688620097,0.24909877124582466,0.2504921491335119,0.5018509269334178,0.50465811855868,0.7058620178774261,0.795872407650163
-0.3999999999999999,9,0.001,1.9799476791478212,2.01988728968369,1.0201720535125751,0.2542481071141443,0.25118559830508674,0.5135525199859975,0.5073665973680378,0.6979027880582285,0.7943500924836052
-0.3999999999999999,10,0.001,2.023234803774362,1.9696051847527352,0.9734931314340874,0.2535891356328986,0.24687935768223487,0.49947047633952163,0.4862548628993548,0.7054801308096323,0.801562814407405
-0.3999999999999999,11,0.001,2.00173326539592,2.0092488108696314,1.0037545189479702,0.2531456631724376,0.24675951230836618,0.5086326227060245,0.4958012566763549,0.6996665173460753,0.8001604868099903
-0.3999999999999999,12,0.001,2.0060685783372896,1.9919325335440918,0.9929533591494094,0.2405925006117418,0.25207878920294857,0.47924402929525534,0.5021239412297565,0.7155775379696243,0.7970584311632871
-0.3999999999999999,13,0.001,1.9889665750766092,1.9722339966072557,0.991587300320163,0.2516047658653529,0.24988626775488304,0.4962234729480578,0.4928341925514838,0.7049538369899732,0.798251490587526
-0.3999999999999999,14,0.001,1.9950003719463978,2.0020013795875027,1.003509276358818,0.25040100881373073,0.2543098289806698,0.5013031650951913,0.5091286284619628,0.7007482549088535,0.795360122311962
-0.3999999999999999,15,0.001,2.0030499222129414,1.978750540957566,0.9878688089668131,0.2511521875345181,0.25461910912506747,0.4969675269466038,0.5038276999193608,0.7051537160481545,0.7949026690748545
-0.3999999999999999,16,0.001,1.9611209370176732,2.0419148081911698,1.0411978015472936,0.24653506921236554,0.2499656110244446,0.5034036085631641,0.5104084826893673,0.7033805888767721,0.7944075638704486
-0.3999999999999999,17,0.001,1.9989257327739463,2.011725884189202,1.0064035152509108,0.25495219860095586,0.24848041509243723,0.512893937156489,0.49987448275553326,0.6997041420118343,0.7972745625841184
-0.3999999999999999,18,0.001,2.0016131384314217,2.0164905036340772,1.0074326876243,0.24836882631986637,0.24689264373710026,0.500833379672752,0.49785667151297414,0.7054186703683506,0.7992557578195716
-0.3999999999999999,19,0.001,2.0074155015950037,1.9656706367320114,0.9792046714644658,0.2472385583620381,0.25588238026309124,0.48598957444021196,0.5029804813402532,0.7105801366788048,0.7948786432076921
-0.29999999999999993,0,0.001,1.9978133283141406,1.973358948104663,0.987759426837885,0.2516582340673932,0.2538162021016437,0.49661202806110805,0.5008704735912202,0.7202450544825328,0.7864206590488171
-0.29999999999999993,1,0.001,1.992391179720705,1.978935114902441,0.9932462736458458,0.253030520293734,0.2453063015328844,0.5007309817513049,0.48544525401027144,0.7189247111442415,0.7925777964676198
-0.29999999999999993,2,0.001,1.9897707003370493,2.0107976943598316,1.0105675463103465,0.24983182988826483,0.24456043175072545,0.5023612675170206,0.49176155229600366,0.7197935075806902,0.7915994104849463
-0.29999999999999993,3,0.001,1.9838959422021847,1.956615412671892,0.986249011881132,0.25341044232361587,0.24867021394457853,0.4958267771823884,0.48655197327637917,0.7179631717399474,0.7916550571189747
-0.29999999999999993,4,0.001,2.0453621871440704,1.9769331068040588,0.9665442723200243,0.2496501299532829,0.25299885102814923,0.49354160702258054,0.5001618045809363,0.724486453605353,0.7887806070767404
-0.29999999999999993,5,0.001,2.003418575770375,2.0031689313888124,0.9998753908022109,0.24578779195895448,0.2522719299396024,0.49235446856683457,0.5053432923165067,0.7229856927710844,0.7876669449081803
-0.29999999999999993,6,0.001,1.999969083693023,1.9915297161380523,0.9957802509929868,0.25151840875337717,0.25282506114553266,0.5009063851881078,0.5035086222557483,0.7191662382576997,0.7864559661573961
-0.29999999999999993,7,0.001,1.9915879413972504,2.026798354695339,1.0176795674276808,0.24719066544950474,0.2514951377649651,0.5010056340291023,0.509729931435909,0.7193171692538574,0.78648394183492
