tauY,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.4125,2,0.5,0.31160938068478644,0.26966306834853776,0.4663763113165416,0.4035965375570981,0.7437629937629938,0.7782535617096206
0.4125,3,0.5,0.31529603752888213,0.26542640336870577,0.48222626304578625,0.4059536669516491,0.7374805474641873,0.7783792453586752
0.4125,4,0.5,0.30689242039189524,0.26912053560690635,0.4678368402420827,0.4102561440318876,0.7456601369644847,0.7753576595402668
0.4125,5,0.5,0.3170507215279675,0.2723269000705749,0.4692031138586279,0.4030163655984924,0.7419303419144019,0.7772424315426002
0.4125,6,0.5,0.3059472792170404,0.2718757906618979,0.46302891952556247,0.41146420362846964,0.7463459685191134,0.7760997768568696
0.4125,7,0.5,0.30620731873726836,0.2659643570721335,0.4663047176936568,0.4050211306265609,0.7460222514654863,0.778598082092846
0.4125,8,0.5,0.3154807585623226,0.2823638538541584,0.45795369989510076,0.40988100884005735,0.7442215701250151,0.7724794013453807
0.4125,9,0.5,0.31284816084762485,0.25852397665150456,0.48135050808846874,0.39776691407453385,0.7378988884904983,0.782320575123499
0.4125,10,0.5,0.3149031263216091,0.27160295201474915,0.4750420039162548,0.40972222823499826,0.7389341642697348,0.774671579621916
0.4125,11,0.5,0.3080237591602253,0.26961694836391104,0.4629751641028156,0.40524780053979903,0.7458428497014865,0.7780218024997005
0.4125,12,0.5,0.3155146070750226,0.2711993219420853,0.4723514310092935,0.4060077883419017,0.7405679189598787,0.7761373666051512
0.4125,13,0.5,0.3116858050433328,0.2684854770725095,0.47375371130868943,0.4080904203446215,0.7399669927142455,0.7783121993878444
0.4125,14,0.5,0.3255257608441897,0.2803423673466709,0.47577785897503566,0.4097392813714476,0.7352032422454957,0.7729574544439571
0.4125,15,0.5,0.3129394738119598,0.2683307048945095,0.47015812610232893,0.4031382166403392,0.7404292807944898,0.7777688988333067
0.4125,16,0.5,0.31144500117313006,0.27013660126386807,0.4705208172552542,0.40811345155151557,0.7420551058654651,0.775370169736367
0.4125,17,0.5,0.3041474060359206,0.2656951736079552,0.47522422744460213,0.4151433847793124,0.7422746352188687,0.7747848709225535
0.4125,18,0.5,0.3216327183479117,0.2731246457139317,0.4741005274982913,0.40259753196405396,0.7379734697139204,0.7771504084574724
0.4125,19,0.5,0.317827692082519,0.2745612548626424,0.4639945005455409,0.4008301211402077,0.7434323300777357,0.7775637166365643
0.48499999999999993,0,0.5,0.306629086306219,0.299347259929227,0.47256806406993473,0.46134551947926294,0.7426367741677656,0.7485686831885334
0.48499999999999993,1,0.5,0.3077998041154205,0.30354057119806743,0.47508586815520937,0.468511785452229,0.7432669322709163,0.7452610441767068
0.48499999999999993,2,0.5,0.30981931935940343,0.2993965665246184,0.47210313989233005,0.45622093361223814,0.7430419678153576,0.7506110510077333
0.48499999999999993,3,0.5,0.3149163563044933,0.3035784202752583,0.47461374535683803,0.4575262229855058,0.7395011809920333,0.7490907637584429
0.48499999999999993,4,0.5,0.3130527173231495,0.3012742889040314,0.4755119385070017,0.4576210753385489,0.740339227138171,0.750059995200384
0.48499999999999993,5,0.5,0.31642008352065604,0.29482971633702004,0.48687272281814226,0.45365181995894016,0.736850462466754,0.752146398484421
0.48499999999999993,6,0.5,0.31352144862476045,0.30030689734066074,0.47098607906217627,0.4511345833410231,0.7407865841485326,0.7514726507713885
0.48499999999999993,7,0.5,0.31153005687756874,0.30062679367045997,0.4692452149723975,0.4528220674315132,0.742516884466291,0.7511310405573127
0.48499999999999993,8,0.5,0.30930481775789154,0.2932617105511794,0.47284371776677503,0.44831812999500426,0.742481053051456,0.7548736462093862
0.48499999999999993,9,0.5,0.3106659755413238,0.31000616548590104,0.4604205501539934,0.459442682821771,0.7458565753039849,0.7476974602288585
0.48499999999999993,10,0.5,0.31457006910640384,0.3078307146149373,0.47192493975216904,0.4618144118453386,0.7400352875130323,0.7466283616630756
0.48499999999999993,11,0.5,0.31464869117419864,0.3149369214245728,0.4591596169101314,0.45958022470242776,0.7445103381952236,0.7449688548155247
0.48499999999999993,12,0.5,0.3146265723966636,0.30181500569851477,0.4748980248625136,0.4555602185418363,0.7402126727468239,0.7491061026073681
0.48499999999999993,13,0.5,0.31728791576917403,0.31152522474821914,0.4653134940992679,0.45686231218811774,0.742732441739409,0.7477023895149045
0.48499999999999993,14,0.5,0.3151343044739943,0.30996519499761094,0.46870633785251875,0.4610182050842426,0.7416334661354582,0.7443373493975903
0.48499999999999993,15,0.5,0.3137061646802951,0.3060236599522966,0.4672527954129794,0.4558100116424117,0.7430058034820892,0.749870077953228
0.48499999999999993,16,0.5,0.30832683166383784,0.30353176648131536,0.47325876288482566,0.4658986943368283,0.7416777095129101,0.7473403195601068
0.48499999999999993,17,0.5,0.3151393776734972,0.30555091711484406,0.4747524901058295,0.46030762586795443,0.7389158608514224,0.7480958647366113
0.48499999999999993,18,0.5,0.30786772219067926,0.2956217861907683,0.4697416928795454,0.4510569581936209,0.7441841873850827,0.7541029541269714
0.48499999999999993,19,0.5,0.3126646872376348,0.3072830274347312,0.46794404585482213,0.4598896803815924,0.742522392834293,0.746919014084507
0.5575,0,0.5,0.30747557416488913,0.3341673934004451,0.46746193787826307,0.5080421029181633,0.7447447447447447,0.7228771228771229
0.5575,1,0.5,0.3054933956110951,0.3341821752173724,0.4740600324481847,0.5185788468855489,0.742333747544795,0.7188759829162176
0.5575,2,0.5,0.3081500804967914,0.33487420887170294,0.4677636452849673,0.5083301630206075,0.7445849455502812,0.7211904857406441
0.5575,3,0.5,0.31983560797767135,0.3462780822017364,0.469225949062477,0.5080193002524833,0.7400629908703106,0.7175422402375888
0.5575,4,0.5,0.30447302221525463,0.3346928530541592,0.46814458148241245,0.5146092894477261,0.7447461817601787,0.7183324639890863
0.5575,5,0.5,0.3129306724347309,0.339985887268531,0.4695063699080307,0.5100987337209735,0.7421953272151645,0.720525412225017
0.5575,6,0.5,0.30770672012249123,0.33439330872187967,0.47054868444233633,0.5113581251743986,0.7437564828851831,0.7202614903344831
0.5575,7,0.5,0.31945372617621987,0.3419653716442016,0.47295566757632057,0.5062844705863614,0.7402866242038216,0.7201768488745981
0.5575,8,0.5,0.30869673123048075,0.3314622399753342,0.4800963470776666,0.5155020915577028,0.7407717786024981,0.7208211378854096
0.5575,9,0.5,0.31097765225642265,0.3454968834384377,0.46002303256486027,0.5110866421037997,0.7451051340811321,0.7188283519719824
0.5575,10,0.5,0.3143086112588392,0.3444527847335457,0.46967588062794335,0.5147207528184634,0.7408789885611078,0.7174805660753438
0.5575,11,0.5,0.3102621978045373,0.33519136517699305,0.4728634566396443,0.5108574254128369,0.7420983054921283,0.7220513639813076
0.5575,12,0.5,0.30704258623846925,0.3338306341660899,0.47751188328901106,0.5191725902686599,0.7418506415876305,0.7179796033084397
0.5575,13,0.5,0.31001458121799724,0.33549726913318684,0.4790445994197692,0.5184212764022205,0.7400598205383848,0.7174724172517553
0.5575,14,0.5,0.31402440038700863,0.341793838802387,0.47322643362084466,0.5150742399975712,0.7406768094416122,0.7193192235641117
0.5575,15,0.5,0.3114104664095934,0.32786051675660727,0.4741855068637631,0.49923404024052337,0.7410974781183806,0.7270907562352376
0.5575,16,0.5,0.31250841690248493,0.3381656130249305,0.46983347886745197,0.5084071909987147,0.7427513143221284,0.7199501847983287
0.5575,17,0.5,0.3188690808801059,0.3452776312821618,0.47146482582124755,0.5105112663890565,0.7412072243346007,0.7160633484162896
0.5575,18,0.5,0.3091799740840741,0.3265115674024899,0.47198535302516326,0.49844327034375585,0.7416589898666239,0.7275596212998842
0.5575,19,0.5,0.30938638904425775,0.33507228395038,0.46816121880503103,0.507028926923981,0.7433026789284286,0.7221688675470188
0.63,0,0.5,0.3136963193831057,0.37882715889842955,0.46776115157871884,0.564879525663848,0.7419212749769751,0.6886962080952571
0.63,1,0.5,0.3086881890419502,0.37673474997082285,0.4658182838648704,0.5685022651767895,0.744399103856617,0.6887697968325068
0.63,2,0.5,0.3048696605961558,0.3707485460456999,0.46176648343913995,0.5615489977353805,0.7479118606316124,0.6914876498511545
0.63,3,0.5,0.3221529696676812,0.3905050486779965,0.4633834583401723,0.5617007974266731,0.7420296811872474,0.6876924923003079
0.63,4,0.5,0.30395313418377046,0.3676835607985036,0.4683676637363811,0.5665711946939482,0.7457802960775707,0.6914471309996392
0.63,5,0.5,0.31154949370087964,0.3756835967759337,0.4678700515037855,0.5641835641737306,0.7439757836459951,0.6892700759249588
0.63,6,0.5,0.30730058472523775,0.37473579885898145,0.46709317261452665,0.5695938826077525,0.744318862574384,0.6878730820079324
0.63,7,0.5,0.30781165733173893,0.3745585940695347,0.4676918969100318,0.5691078137938748,0.7461406518010292,0.6899843568248365
0.63,8,0.5,0.30368374027978573,0.37027969233575597,0.4691948338057169,0.5720863374082703,0.7453416149068323,0.6899980035935317
0.63,9,0.5,0.302054631132045,0.3723339577171357,0.46482702510529217,0.5729787530907838,0.746707885016862,0.68974175035868
0.63,10,0.5,0.32121475202699057,0.3807390468785459,0.46987049014684473,0.556942174809682,0.7389944671638201,0.6918349429323969
0.63,11,0.5,0.3055171315807089,0.37733628801836383,0.46219096375706015,0.5708400760290829,0.7472957330459427,0.6873772397482664
0.63,12,0.5,0.31440501278496435,0.3806297434475053,0.46467170114784784,0.562547870431662,0.7420377055756117,0.6894295971280415
0.63,13,0.5,0.31854605514563916,0.3843617545763193,0.4698850602173783,0.5669693385836407,0.7392336794655076,0.6884392144390554
0.63,14,0.5,0.3126089173634308,0.3746226619265101,0.48042990355969795,0.5757351097294218,0.7397593241950908,0.6867169932540957
0.63,15,0.5,0.31135509328987143,0.3714163938804888,0.4783895572222475,0.5706722903940079,0.7398556535685645,0.6909417398244214
0.63,16,0.5,0.314235316191491,0.3712138384915742,0.47157667252625185,0.5570850179197467,0.7410739163316483,0.6924870362181935
0.63,17,0.5,0.31098937901209855,0.3676240933164022,0.4734964831812665,0.5597255953594683,0.7413572854291417,0.6933466933867736
0.63,18,0.5,0.30473091886259696,0.38274103624851735,0.46240592449363366,0.5807803270135119,0.746914569642571,0.6832774317201725
0.63,19,0.5,0.30565373751151187,0.37182480017721903,0.4736179021504769,0.5761515735459383,0.7437368064683156,0.6866589000923955
0.7025,0,0.5,0.31879798385596275,0.40613953900485106,0.4795477194805164,0.6109301174521895,0.7369599104680443,0.6653856931267763
0.7025,1,0.5,0.31304445317264135,0.40918967322057026,0.4809684086405958,0.6286880472292719,0.7387952384756731,0.6583353360570375
0.7025,2,0.5,0.3116793859742971,0.4079390435475791,0.47848825962918334,0.6262654887223488,0.7395058767090429,0.6595293364284
0.7025,3,0.5,0.3201604634666966,0.40992174162683936,0.47635173370279227,0.609903328449938,0.740368575740726,0.6645314640238498
