tauN,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.065,9,0.001,0.5243944317464211,0.2501247334183681,1.073369108873367,0.5119737090310829,0.4953764861294584,0.7559854510571965
-1.065,10,0.001,0.5301526973958819,0.25135297534165235,1.0672057875444378,0.505977525567164,0.4937679769894535,0.7545257930150593
-1.065,11,0.001,0.5364958475506021,0.2528145752558342,1.0698947857857968,0.5041697844853419,0.4890593005982254,0.7570637229506236
-1.065,12,0.001,0.5390792972298208,0.2505039813160317,1.0586073827761766,0.49192273826631944,0.4936124487602977,0.7589755960278214
-1.065,13,0.001,0.5300655140752051,0.2543507011708052,1.054536322219396,0.5060167957437248,0.49661444769421853,0.7547222555009784
-1.065,14,0.001,0.5425712385306057,0.250117153083255,1.0563392784897763,0.48695646629079253,0.4913669064748201,0.761208967173739
-1.065,15,0.001,0.5294723593047252,0.2505633321594265,1.070128587207364,0.506419230272638,0.4900683554483313,0.7567449263828094
-1.065,16,0.001,0.5290067568003858,0.2486481871138907,1.0551162091397315,0.4959345589154177,0.49655061768008985,0.7601324397638424
-1.065,17,0.001,0.5333739257906953,0.2519520520309745,1.0612338817906934,0.5012994472978534,0.4969593386064629,0.7561692363431424
-1.065,18,0.001,0.5237975265452827,0.24689598679496344,1.0639841203731453,0.5015170863182548,0.4987824837331843,0.7589482544390557
-1.065,19,0.001,0.5310146391071504,0.2499166462929338,1.0685034674592442,0.5028803039945974,0.4929177336747759,0.757477607165707
-0.9925,0,0.001,0.4932808619488558,0.24656172966600778,1.00051594394254,0.5000983430053856,0.5262842534153551,0.7593126652247056
-0.9925,1,0.001,0.5042713999822207,0.2507202683468427,0.9943369297439746,0.4943774758222947,0.5239005736137667,0.7585154241645244
-0.9925,2,0.001,0.48839814891199196,0.2488957150903571,0.9958936959760124,0.5075237778155348,0.5305371007764348,0.7581754217638123
-0.9925,3,0.001,0.4951761369325806,0.2464272129038724,1.0049477606951154,0.5001179526060293,0.5251405558435345,0.758958308254083
-0.9925,4,0.001,0.4848146697760285,0.2471198483246835,0.994986671893031,0.5071648420970387,0.528358688235058,0.757643400964643
-0.9925,5,0.001,0.4898849719634762,0.24639482479494892,0.9914276612725076,0.49865306934607945,0.5271482341635301,0.7592903380484296
-0.9925,6,0.001,0.4963822200947385,0.24436632271301204,1.0104424428781635,0.4974354319785331,0.5238114183409588,0.7596219585763121
-0.9925,7,0.001,0.5040867056439706,0.25148721971741334,0.9987859312381601,0.4982910561369946,0.5215159414477641,0.759704767604229
-0.9925,8,0.001,0.4943772151490896,0.2525319401460498,0.9844167262400492,0.5028481454483151,0.525332259363673,0.7579261025029798
-0.9925,9,0.001,0.4922435066462465,0.24581038047536255,0.9900471481894211,0.49439731128821984,0.525627088617788,0.7627071493860033
-0.9925,10,0.001,0.4973128633301142,0.2515829603951689,0.9816163969704989,0.4965847001595608,0.5280588776448942,0.7585503420136805
-0.9925,11,0.001,0.4990041058744296,0.2528483164753897,0.9775636742914465,0.49533726553001173,0.5277299483442117,0.7583409917289328
-0.9925,12,0.001,0.49796524915159085,0.24962484195319984,1.0002976319513597,0.5014388829490483,0.5235402630734681,0.7590169166932652
-0.9925,13,0.001,0.5034743599199187,0.2479247154364051,1.0048778669878196,0.494829685589001,0.5220720181839933,0.7603819764875818
-0.9925,14,0.001,0.4968142608837651,0.25178944040182394,1.0061047740622868,0.509901945238273,0.5212531549216778,0.7548224769359799
-0.9925,15,0.001,0.49585213978511095,0.25010920918593854,0.9840710271203602,0.49636818444008657,0.5264044268013954,0.7588284585611109
-0.9925,16,0.001,0.4929929771553456,0.2504332271220464,0.9965000407290086,0.5062074564773753,0.5274905170692753,0.7556000801442597
-0.9925,17,0.001,0.49744074317849846,0.24785338316810995,1.0045897450425323,0.5005439751754197,0.5228544030685632,0.7585695979497037
-0.9925,18,0.001,0.48616199964633067,0.2476976861686625,0.9888635639355648,0.5038222174944219,0.530620418953018,0.7590380697479328
-0.9925,19,0.001,0.49153702651671827,0.2551380585087595,0.9837546671864515,0.5106293977760905,0.530954669229537,0.7543151670129455
-0.92,0,0.001,0.455865802878452,0.24564763506403908,0.9253667081270109,0.49864267506594295,0.5604544548534981,0.7591009432069035
-0.92,1,0.001,0.46373675641860573,0.2525239495697799,0.9282013339383488,0.5054442279974637,0.5551816688699275,0.7563605863322284
-0.92,2,0.001,0.4552993113704954,0.2495479379388379,0.9224071097609943,0.505568065737022,0.5598153352067443,0.758509366281387
-0.92,3,0.001,0.4597511899231522,0.2521380501625141,0.9189589938203475,0.5039780950211307,0.5574620268424013,0.7571075893923708
-0.92,4,0.001,0.45789830511246665,0.25287499213200704,0.9196716169139285,0.5078899622352154,0.5600770527329642,0.7569970496770593
-0.92,5,0.001,0.4621325793242452,0.24871626722753643,0.9281258177280749,0.49951031204157503,0.5571457046043452,0.7582580774633755
-0.92,6,0.001,0.4578690451611048,0.24427773527471922,0.9153377462535103,0.488341882966993,0.5626595405232929,0.7633183568677792
-0.92,7,0.001,0.46094128204212154,0.24582028928508948,0.9190338600062711,0.4901213628092641,0.55968,0.76336
-0.92,8,0.001,0.4558969006167297,0.25035653056122725,0.9272828008141599,0.5092188706413231,0.5608706051183927,0.7549570522597736
-0.92,9,0.001,0.45942239437687477,0.2519344300757693,0.9139906247043861,0.5012069719453066,0.5605605605605606,0.7564435564435564
-0.92,10,0.001,0.45626819293519405,0.25304064636686885,0.9277598824561756,0.5145240539774052,0.5586549637289087,0.7539622340213182
-0.92,11,0.001,0.4646742989788438,0.2492140920980011,0.9311103669848886,0.49937305605477533,0.5563369026690107,0.7596107640557425
-0.92,12,0.001,0.45409359438245567,0.2509185758247477,0.9160812604134244,0.5061991801828358,0.5614936759686809,0.7576011157601116
-0.92,13,0.001,0.4544816194597082,0.25093071515415627,0.9291082963495054,0.5129840224029351,0.5614035087719298,0.7554149817832406
-0.92,14,0.001,0.4694024768313171,0.2506953637781959,0.9217420708930165,0.4922778962140655,0.5555998564650533,0.7588587021951122
-0.92,15,0.001,0.45698820678763846,0.25033580861484167,0.9364956707487075,0.5130075514402045,0.5584503670603256,0.7542107795957652
-0.92,16,0.001,0.4558042532094925,0.2470762628130949,0.9229589832009161,0.5003052400089083,0.5626522867984821,0.7606649309032646
-0.92,17,0.001,0.4567217324676441,0.2520913130500205,0.9232479193931034,0.5095942752997753,0.5600720144028806,0.7546490701859628
-0.92,18,0.001,0.46459115660340666,0.2513267424107211,0.9255261671300342,0.5006756441540207,0.5538591007453715,0.7566078415715084
-0.92,19,0.001,0.4612496462351471,0.24637688699271706,0.9153878640789034,0.4889551985210548,0.5616432881748791,0.7635024222284502
-0.8475,0,0.001,0.42431207351192346,0.2422038535414342,0.8588802659098562,0.49026205738690404,0.5925881697317092,0.7637269876999759
-0.8475,1,0.001,0.42044513566143055,0.2502929974053182,0.8342329432298253,0.49662285559986824,0.5955273107553697,0.7603230169464555
-0.8475,2,0.001,0.42504071565824986,0.2439254897912452,0.8506082684423263,0.48815332474431433,0.5924019314417973,0.7632412493484624
