tauY,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.195,13,0.24687645840050718,0.09519057550120091,0.49943317266706017,0.19257134292424877,0.7600784659113655,0.9074777187162784
0.195,14,0.25194404195972436,0.09721424056984401,0.49773941644359077,0.1920559779658381,0.7567198360721604,0.9069332165186572
0.195,15,0.24518308894795027,0.09521304114816015,0.4990420293825279,0.19379521435243424,0.7607573149741824,0.9070232242075389
0.195,16,0.246122041120775,0.0969603383167614,0.4999892729750896,0.1969719121524227,0.7584564462743199,0.9062871640371045
0.195,17,0.25329312495050077,0.09606310546794508,0.49548150943444125,0.18791466411699484,0.7583668271717936,0.9074021953278919
0.195,18,0.25333642850605304,0.09851048972344173,0.5005060104302061,0.19462298607334944,0.7564872657376261,0.9055857439667573
0.195,19,0.24576778557894832,0.09447925323953485,0.5006137914403094,0.19244840028677881,0.7604262281997046,0.9071082067113018
0.26749999999999996,0,0.25747521779751825,0.13057734495086204,0.5051061945931362,0.2561622294075439,0.7534235637002435,0.8745241053179978
0.26749999999999996,1,0.2505683843494919,0.1358457096319128,0.5008791641669877,0.2715517589050606,0.7583019924781947,0.8688714708469967
0.26749999999999996,2,0.2462060295424157,0.1346649527638874,0.494340886160013,0.27038489759052725,0.7596119151665798,0.8684998204094664
0.26749999999999996,3,0.24643290439747198,0.1359661442704845,0.48210071462064225,0.2659927880868102,0.7633354755784062,0.8703393881453155
0.26749999999999996,4,0.2536464483559427,0.13224563632998637,0.5056505080468457,0.26363496761207184,0.7556309904153354,0.8721955128205128
0.26749999999999996,5,0.2500898376592282,0.13691776366094177,0.4991050800151424,0.273247213989573,0.7587155963302752,0.8670677898114721
0.26749999999999996,6,0.24279539685601365,0.13422038848100362,0.4962295559565719,0.2743220202636117,0.7629308615224109,0.8694924040033494
0.26749999999999996,7,0.24765171107130088,0.13393919190896836,0.4986769766568085,0.26970292669526663,0.7594120474206985,0.8700862895493768
0.26749999999999996,8,0.24656908108796732,0.12935906986634854,0.49145160527254483,0.2578333108995907,0.7606570512820513,0.8744408945686901
0.26749999999999996,9,0.2468099823923693,0.13260899239835508,0.4960952411151493,0.2665479305991511,0.7605605685538609,0.870722128716839
0.26749999999999996,10,0.24975864223870772,0.13150440367701494,0.5072288327342094,0.26706913754259237,0.7569925173062303,0.8719660922068055
0.26749999999999996,11,0.2534239983727316,0.13311883950529252,0.5086186526102923,0.267167771091062,0.754087899816543,0.869774532616545
0.26749999999999996,12,0.2543037550933621,0.13135511351048854,0.5014071142068853,0.25899101795579843,0.7571502652678607,0.8738919417592556
0.26749999999999996,13,0.24908135318867128,0.13279371799792788,0.48687242577119166,0.25956820444866313,0.7612983072500799,0.8721545367104842
0.26749999999999996,14,0.24936769819100615,0.1297846603980006,0.5016220648768865,0.26107170179003797,0.7591725683191294,0.8747950573839325
0.26749999999999996,15,0.25385659550574896,0.13117637276451116,0.5101833255606982,0.2636291484121495,0.7551264661294184,0.872703938397369
0.26749999999999996,16,0.25224472815888727,0.1372877807996042,0.5030895123185495,0.2738136221672125,0.7556779627190356,0.8661562512526556
